"ACCESS POINT","STATUS","RADIO MAC ADDRESS","BAND","BANDWIDTH","CHANNEL","UTILIZATION (%)","POWER (dBm)","NOISE FLOOR (dBm)"
"Campus Central - Biblioteca 1","Up","68:28:cf:67:07:a0","2.4 GHz","20 MHz","6","10","9","-97"
"Campus Central - Biblioteca 1","Up","68:28:cf:67:07:b0","5 GHz","80 MHz","124","2","24","-94"
"Campus Central - Administrativo - Direccion IdioInvestiga","Up","68:28:cf:68:57:50","5 GHz","80 MHz","36","25","24","-97"
"Campus Central - Administrativo - Direccion IdioInvestiga","Up","68:28:cf:68:57:40","2.4 GHz","20 MHz","1","28","9","-97"
"Campus Central - Biblioteca 2","Up","68:28:cf:68:03:60","2.4 GHz","20 MHz","11","20","9","-98"
"Campus Central - Biblioteca 2","Up","68:28:cf:68:03:70","5 GHz","80 MHz","44","27","24","-97"
"Santa Cruz - Bloque2_PisoX - Laboratorio - AP3 - SWArP28","Up","68:28:cf:71:4d:c0","2.4 GHz","20 MHz","11","31","9","-98"
"Santa Cruz - Bloque2_PisoX - Laboratorio - AP3 - SWArP28","Up","68:28:cf:71:4d:d0","5 GHz","80 MHz","100","25","24","-93"
"Campus Central - Bloque de Aulas - Aula 401 - Carnetizacion","Up","68:28:cf:70:7a:60","2.4 GHz","20 MHz","1","41","9","-97"
"Campus Central - Bloque de Aulas - Aula 401 - Carnetizacion","Up","68:28:cf:70:7a:70","5 GHz","80 MHz","116","4","24","-94"
"Campus Central - Bloque de Aulas - Aula 305 - Lab Computacion","Up","68:28:cf:70:62:70","5 GHz","80 MHz","157","21","24","-93"
"Campus Central - Bloque de Aulas - Aula 305 - Lab Computacion","Up","68:28:cf:70:62:60","2.4 GHz","20 MHz","6","31","9","-95"
"Santa Cruz - Bloque1_Piso2 - AP - SWArP19","Down","68:28:cf:70:c2:00","2.4 GHz","-","-","-","-","-"
"Santa Cruz - Bloque1_Piso2 - AP - SWArP19","Down","68:28:cf:70:c2:10","5 GHz","-","-","-","-","-"
"Tachina - Laboratorio Piscologia","Up","68:28:cf:70:54:70","5 GHz","80 MHz","149","4","18","-95"
"Tachina - Laboratorio Piscologia","Up","68:28:cf:70:54:60","2.4 GHz","20 MHz","1","16","9","-98"
"Santa Cruz - Bloque1_Piso2 - AP1 - SWArP25","Down","68:28:cf:6f:1a:f0","5 GHz","-","-","-","-","-"
"Santa Cruz - Bloque1_Piso2 - AP1 - SWArP25","Down","68:28:cf:6f:1a:e0","2.4 GHz","-","-","-","-","-"
