"DEVICE NAME","STATUS","CLIENTS","ALERTS","IP ADDRESS","MODEL","SERIAL","MAC","VIRTUAL CONTROLLER","GROUP","LABELS","SITE","FIRMWARE VERSION","UPTIME","LAST SEEN","PUBLIC IP","LLDP NEIGHBOR","LLDP PORT","ZONE","NOTE"
"Campus Central - Bloque de Aulas - Aula 205 - Lab Computacion","Online","0","0","10.10.60.13","AP-515","PHR4KD50S4","68:28:cf:ce:f2:fc","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P2-DisSW48Poe","1/1/31","-",""
"Santa Cruz - Bloque1_Piso1_Escalera - Entrada -SWArP24","Offline","-","0","10.10.60.68","AP-515","PHR4KD50SG","68:28:cf:ce:f6:0e","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","-","2026-04-18 12:38:25 (-05)","190.15.139.161","SC-Bloque1Piso1-Escalera","1/1/18","-",""
"Tachina - Escaleras","Online","4","0","172.21.234.8","AP-515","PHR4KD50SV","68:28:cf:cf:05:2c","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 53 Minutes","-","190.15.138.173","SW48GPOETACHINA01","1/1/15","-",""
"Campus Central - Bloque de Aulas - Aula 310","Online","7","0","10.10.60.6","AP-515","PHR4KD50SW","68:28:cf:cf:05:58","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P3-DisSW48Poe","1/1/29","-",""
"Campus Central - Bloque de Aulas - Aula 204","Offline","-","0","10.10.60.19","AP-515","PHR4KD50SX","68:28:cf:ce:f9:c4","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","-","2026-05-13 13:47:12 (-05)","190.15.139.161","CC-BloqueAulas-P2-DisSW48Poe","1/1/39","-",""
"Campus Central - Bloque de Aulas - AP1 - SwArP11","Online","1","0","10.10.60.23","AP-515","PHR4KD50T8","68:28:cf:ce:f9:e0","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P4-DisSW48Poe","1/1/11","-",""
"Campus Central - Bloque de Aulas - Aula 303","Online","1","0","10.10.60.14","AP-515","PHR4KD50TP","68:28:cf:cf:14:14","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P3-DisSW48Poe","1/1/32","-",""
"Campus Central - Bloque de Aulas - Aula 302","Offline","-","0","10.10.60.73","AP-515","PHR4KD50TS","68:28:cf:cf:00:7c","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","-","2026-04-29 20:40:03 (-05)","190.15.139.161","SC-Bloque1Piso1-Escalera","1/1/18","-",""
"Santa Cruz - Bloque1_Piso2 - AP3 - SwArP47","Offline","-","0","10.10.60.37","AP-515","PHR4KD50VP","68:28:cf:cf:01:ae","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","-","2026-04-18 12:38:25 (-05)","190.15.139.161","SC-Bloque1Piso2-PRINCIPAL","1/1/47","-",""
"Campus Central - Bloque de Aulas - Salon Juridico","Online","0","0","10.10.60.72","AP-515","PHR4KD50VR","68:28:cf:cf:11:a4","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 41 Minutes","-","190.15.139.161","CC-BloqueAulas-P1-DisSW48Poe","1/1/8","-",""
